	CC5CD1	CC5CD2	CC5CD3	CC5CD4	CRB5F1	CRB5F2	CRB5F3	CRB5F4	CRB5XFD1	CRB5XFD2	CRB5XFD3	CRB5XFD4	CRB6XFD1	CRB6XFD2	CRB6XFD3	CRB6XFD4	CRB6ZFD1	CRB6ZFD2	CRB6ZFD3	CRB6ZFD4	DC74D1	DC74D2	DC74D3	DC74D4	DC75D1	DC75D2	DC75D3	DC75D4	DC8D1	DC8D2	DC8D3	DC8D4	DCCD1	DCCD2	DCCD3	DCCD4	DCRCD11	DCRCD12	DCRCD13	DCRCD14	DRB7D11	DRB7D12	DRB7D13	DRB7D14	DRB7D21	DRB7D22	DRB7D23	DRB7D24	DRB7D31	DRB7D32	DRB7D33	DRB7D34	DRB7F1	DRB7F2	DRB7F3	DRB7F4	DRB8D41	DRB8D42	DRB8D43	DRB8D44	DRB8D51	DRB8D52	DRB8D53	DRB8D54	ZAN1	ZAN3	ZAS1	ZAS2	ZAS3	ZBN1	ZBN2	ZBN3	ZBS1	ZBS2	ZBS3	ZCN1	ZCN2	ZCN3	ZCS1	ZCS2	ZCS3	ZDN1	ZDN2	ZDN3	ZDS1	ZDS2	ZDS3	ZEN1	ZEN2	ZEN3	ZES1	ZES2	ZES3	ZFN1	ZFN2	ZFN3	ZFS2	ZFS3	ZGN1	ZGN2	ZGN3	ZGS1	ZGS2	ZGS3	ZHN1	ZHN2	ZHN3	ZHS1	ZHS2	ZHS3	ZIN1	ZIN2	ZIN3	ZIS1	ZIS2	ZIS3	ZJN1	ZJN2	ZJN3	ZJS1	ZJS2	ZJS3	ZKN1	ZKN2	ZKN3	ZKS1	ZKS2	ZKS3
taxa_158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	2214	0	0	0	0	0	0	0	0	0	0	0	0	0	3093	0	0	0	4082	0	0
taxa_159	538	814	813	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3227	3697	4008	1369	624	597	352	278	0	0	0	0	411	1241	0	274	0	0	0	0	209	0	74	74	0	0	0	0	0	0	0	0	0	0	0	0	859	0	72	479	0	0	0	0	0	0	0	0	0	0	9210	0	0	1232	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	796	2262	0	0	0	0	0	0	0	0	0	0	7367	0	0	0	0	0	2724	0	0	0	197	0	0	281	0	0	0	0	787	615
taxa_160	24080	24350	28163	30786	0	0	0	946	0	871	360	148	898	1645	2217	3510	3406	2373	429	2171	147246	136893	120172	82790	86802	62371	71464	100734	14964	11416	24758	23841	55553	83255	18595	20807	0	0	0	0	15581	14254	15121	18859	10489	11616	9195	7714	560	3106	1984	1777	0	0	0	806	23423	24786	16706	18311	279	81	0	84	0	8409	0	19874	9202	0	115673	3287	384	35334	13169	0	1721	7032	0	8587	3692	0	10057	2639	0	3633	10852	0	0	0	0	10649	27997	0	7760	34627	74952	78258	0	0	230	0	42018	13044	0	0	823	0	55003	6262	0	0	0	0	49723	10249	0	4212	22798	0	11152	27466	0	0	0	0	30949	43410
taxa_161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	0	174	4525	0	12751	0	0	6428	0	0	0	0	0	0	0	0	1074	2422	0	0	0	0	0	0	0	5300	7778	0	0	0	0	1334	0	0	0	0	846	1129	0	0	0	0	0	761	0	0	0	0	0	11088	0	0	5572	0	0	8390	0	0	0	0	4830	0
taxa_162	31679	22652	41777	36367	0	0	0	0	268935	210724	211161	230235	69367	76645	58420	90132	926723	821278	530736	677496	5328	0	0	5242	27964	5653	13645	7821	0	0	0	12871	38336	39098	71084	71942	0	0	0	0	833734	246566	525869	316851	380348	715796	342984	559129	161259	143630	125960	456394	0	0	0	0	29461	41906	20517	32300	32492	61476	16631	35289	0	47085	0	7151	243549	0	36080	1456	0	45598	1851	0	11136	32886	0	6307	39720	0	283	2113	0	0	0	0	0	10173	0	138909	66610	0	1993	3277	25309	19982	0	0	0	0	18699	9638	0	0	0	0	61339	27088	0	0	0	0	51233	46651	0	9183	8736	0	0	14645	0	0	0	0	211170	20459
taxa_163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0
taxa_164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxa_165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	119	735	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxa_166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxa_167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	0
